"","ID","year","month","day","TMAX"
"32830","USC00020949",1975,7,1,411
"32831","USC00020949",1975,7,2,417
"32832","USC00020949",1975,7,3,400
"32833","USC00020949",1975,7,4,406
"32834","USC00020949",1975,7,5,422
"32835","USC00020949",1975,7,6,439
"32836","USC00020949",1975,7,7,433
"32837","USC00020949",1975,7,8,422
"32838","USC00020949",1975,7,9,433
"32839","USC00020949",1975,7,10,444
"32840","USC00020949",1975,7,11,456
"32841","USC00020949",1975,7,12,439
"32842","USC00020949",1975,7,13,417
"32843","USC00020949",1975,7,14,422
"32844","USC00020949",1975,7,15,433
"32845","USC00020949",1975,7,16,428
"32846","USC00020949",1975,7,17,406
"32847","USC00020949",1975,7,18,417
"32848","USC00020949",1975,7,19,422
"32849","USC00020949",1975,7,20,428
"32850","USC00020949",1975,7,21,422
"32851","USC00020949",1975,7,22,417
"32852","USC00020949",1975,7,23,417
"32853","USC00020949",1975,7,24,439
"32854","USC00020949",1975,7,25,444
"32855","USC00020949",1975,7,26,433
"32856","USC00020949",1975,7,27,400
"32857","USC00020949",1975,7,28,378
"32858","USC00020949",1975,7,29,367
"32859","USC00020949",1975,7,30,378
"32860","USC00020949",1975,7,31,400
"32923","USC00020949",1975,8,1,422
"32924","USC00020949",1975,8,2,439
"32925","USC00020949",1975,8,3,444
"32926","USC00020949",1975,8,4,461
"32927","USC00020949",1975,8,5,456
"32928","USC00020949",1975,8,6,456
"32929","USC00020949",1975,8,7,444
"32930","USC00020949",1975,8,8,456
"32931","USC00020949",1975,8,9,428
"32932","USC00020949",1975,8,10,439
"32933","USC00020949",1975,8,11,417
"32934","USC00020949",1975,8,12,417
"32935","USC00020949",1975,8,13,417
"32936","USC00020949",1975,8,14,406
"32937","USC00020949",1975,8,15,406
"32938","USC00020949",1975,8,16,406
"32939","USC00020949",1975,8,17,406
"32940","USC00020949",1975,8,18,406
"32941","USC00020949",1975,8,19,383
"32942","USC00020949",1975,8,20,378
"32943","USC00020949",1975,8,21,389
"32944","USC00020949",1975,8,22,400
"32945","USC00020949",1975,8,23,417
"32946","USC00020949",1975,8,24,411
"32947","USC00020949",1975,8,25,417
"32948","USC00020949",1975,8,26,422
"32949","USC00020949",1975,8,27,400
"32950","USC00020949",1975,8,28,389
"32951","USC00020949",1975,8,29,394
"32952","USC00020949",1975,8,30,417
"32953","USC00020949",1975,8,31,433
"33016","USC00020949",1975,9,1,417
"33017","USC00020949",1975,9,2,400
"33018","USC00020949",1975,9,3,417
"33019","USC00020949",1975,9,4,411
"33020","USC00020949",1975,9,5,411
"33021","USC00020949",1975,9,6,378
"33023","USC00020949",1975,9,8,361
"33024","USC00020949",1975,9,9,361
"33025","USC00020949",1975,9,10,389
"33026","USC00020949",1975,9,11,389
"33027","USC00020949",1975,9,12,367
"33028","USC00020949",1975,9,13,367
"33029","USC00020949",1975,9,14,367
"33030","USC00020949",1975,9,15,400
"33031","USC00020949",1975,9,16,417
"33032","USC00020949",1975,9,17,378
"33033","USC00020949",1975,9,18,400
"33034","USC00020949",1975,9,19,394
"33035","USC00020949",1975,9,20,394
"33036","USC00020949",1975,9,21,383
